step,train_loss,val_loss,lr,grad_norm
200,3.989824641942978,3.301942044496536,0.0001,7.4363
400,1.8601135754585265,2.5582472681999207,9.99972400997742e-05,0.8531
600,1.5739460134506225,2.3757180690765383,9.998896070377873e-05,0.7314
800,1.5170150285959243,2.253844803571701,9.99751627260259e-05,0.6916
1000,1.473743197619915,2.1655980825424193,9.995584768975734e-05,0.6587
1200,1.3795304524898528,2.0943262577056885,9.993101772727602e-05,0.5990
1400,1.3807683688402177,2.028698295354843,9.990067557971068e-05,0.5798
1600,1.3002898308634758,1.9729924499988556,9.986482459671332e-05,0.5469
1800,1.2516127064824105,1.9258783280849456,9.982346873608937e-05,0.5152
2000,1.2406168991327287,1.8810626149177552,9.977661256336081e-05,0.5038
2200,1.2178857091069222,1.847589761018753,9.972426125126209e-05,0.4887
2400,1.2095020386576651,1.8117232531309129,9.966642057916915e-05,0.4858
2600,1.217324044406414,1.7785335153341293,9.960309693246135e-05,0.4819
2800,1.1674800193309784,1.7507792264223099,9.953429730181653e-05,0.4628
3000,1.14163694947958,1.7253930181264878,9.946002928243939e-05,0.4553
3200,1.1791748574376106,1.7025060594081878,9.938030107322283e-05,0.4699
3400,1.142395756840706,1.678979793190956,9.929512147584297e-05,0.4592
3600,1.1283747321367263,1.6592318922281266,9.920449989378742e-05,0.4474
3800,1.0901270121335984,1.645726454257965,9.910844633131713e-05,0.4324
4000,1.102058807015419,1.6266862541437148,9.900697139236209e-05,0.4397
4200,1.103856347501278,1.613780787587166,9.890008627935057e-05,0.4523
4400,1.0998035579919816,1.598340353369713,9.878780279197247e-05,0.4437
4600,1.0633109188079835,1.5878622829914093,9.867013332587667e-05,0.4341
4800,1.0611401829123497,1.5738766103982926,9.85470908713026e-05,0.4263
5000,1.0448031762242318,1.5610642790794373,9.841868901164622e-05,0.4222
5200,1.0419090339541435,1.5496602326631546,9.828494192196037e-05,0.4232
5400,1.0442958301305771,1.5392794162034988,9.814586436738998e-05,0.4253
5600,1.0350404569506646,1.5304328680038453,9.800147170154199e-05,0.4187
5800,1.0599122336506843,1.5226929098367692,9.785177986479048e-05,0.4289
6000,1.0523031747341156,1.512913054227829,9.76968053825168e-05,0.4267
6200,1.030370565354824,1.5059220254421235,9.753656536328528e-05,0.4244
6400,1.0059077805280685,1.4943762063980102,9.737107749695456e-05,0.4158
6600,1.0025124019384384,1.4916732639074326,9.720036005272459e-05,0.4130
6800,0.9845711240172386,1.48356531560421,9.702443187711992e-05,0.4074
7000,0.9964306429028511,1.4770364552736281,9.684331239190899e-05,0.4141
7200,0.9834222576022148,1.4695931822061539,9.665702159196013e-05,0.4075
7400,0.9891572508215905,1.4629165023565291,9.646558004303419e-05,0.4102
7600,0.994617314338684,1.457107800245285,9.626900887951412e-05,0.4143
7800,0.9911643534898757,1.4535035133361816,9.606732980207184e-05,0.4095
8000,0.9925519835948944,1.4488252490758895,9.586056507527266e-05,0.4149
8200,0.9833541244268418,1.444223564863205,9.564873752511718e-05,0.4090
8400,0.9644034528732299,1.4367961525917052,9.543187053652156e-05,0.4022
8600,0.9844356608390809,1.431506735086441,9.520998805073584e-05,0.4125
8800,0.9508384197950364,1.4293482333421708,9.49831145627009e-05,0.3953
9000,0.9928818008303643,1.4230463325977325,9.475127511834438e-05,0.4170
9200,0.9745651870965958,1.4183657795190812,9.451449531181572e-05,0.4039
9400,0.9429093703627587,1.4141558349132537,9.42728012826605e-05,0.3934
9600,0.9517464900016784,1.411480936408043,9.4026219712935e-05,0.4012
9800,0.9693825863301754,1.4077464193105698,9.37747778242604e-05,0.4153
10000,0.9572795367240906,1.4023838698863984,9.351850337481773e-05,0.4009
10200,0.9801621583104133,1.4004086077213287,9.325742465628342e-05,0.4074
10400,0.9480437013506889,1.3970818996429444,9.299157049070603e-05,0.4007
10600,0.9878658825159072,1.3914003819227219,9.272097022732443e-05,0.4144
10800,0.9365327021479607,1.3912136524915695,9.244565373932774e-05,0.3995
11000,0.947417588531971,1.3881891995668412,9.216565142055745e-05,0.3961
11200,0.9723887953162194,1.3842472583055496,9.188099418215208e-05,0.4125
11400,0.9469841119647026,1.3787453949451447,9.159171344913469e-05,0.4021
11600,0.9545953738689422,1.3782297044992446,9.129784115694369e-05,0.4025
11800,0.9497282561659813,1.3745943516492845,9.09994097479073e-05,0.3989
12000,0.9598809382319451,1.370657730102539,9.069645216766208e-05,0.4098
12200,0.9357855075597763,1.3688708603382111,9.038900186151575e-05,0.3982
12400,0.9174908190965653,1.3654282122850419,9.00770927707551e-05,0.3895
12600,0.9172188606858254,1.3627890080213547,8.976075932889896e-05,0.3955
12800,0.9311533957719803,1.3612021446228026,8.944003645789678e-05,0.4001
13000,0.9386537888646126,1.3592477798461915,8.911495956427357e-05,0.4013
13200,0.9434672275185585,1.3555991619825363,8.8785564535221e-05,0.4006
13400,0.9466943743824959,1.3552581936120986,8.845188773463566e-05,0.4090
13600,0.9356969898939133,1.3539496779441833,8.811396599910467e-05,0.4020
13800,0.9204000467061997,1.3514199882745743,8.777183663383896e-05,0.3926
14000,0.94615738093853,1.348022112250328,8.742553740855506e-05,0.4073
14200,0.9135209366679191,1.348173901438713,8.707510655330535e-05,0.3973
14400,0.9183477184176445,1.3477001368999482,8.672058275425772e-05,0.3976
14600,0.9295094698667526,1.344072151184082,8.636200514942467e-05,0.4020
14800,0.899162203669548,1.3404819786548614,8.599941332434269e-05,0.3841
15000,0.9021716165542603,1.3361994534730912,8.563284730770221e-05,0.3944
15200,0.9156160700321198,1.3345775246620177,8.52623475669285e-05,0.3993
15400,0.9143917518854141,1.333624440431595,8.488795500371427e-05,0.3991
15600,0.9141404509544373,1.3322602450847625,8.450971094950433e-05,0.3955
15800,0.905377385020256,1.3273887008428573,8.412765716093272e-05,0.3970
16000,0.9269018790125847,1.3270246088504791,8.374183581521288e-05,0.4024
16200,0.9218845334649086,1.325971820950508,8.335228950548164e-05,0.4002
16400,0.9221384048461914,1.3238504856824875,8.295906123609688e-05,0.4029
16600,0.9423521414399147,1.321110686659813,8.256219441789022e-05,0.4152
16800,0.9197729295492172,1.3219913810491561,8.216173286337448e-05,0.4098
17000,0.8985325807332992,1.3199123024940491,8.175772078190707e-05,0.3869
17200,0.9202590049803256,1.3192235320806502,8.135020277480934e-05,0.4047
17400,0.9131679856777191,1.3154644459486007,8.093922383044293e-05,0.3955
17600,0.9032693853974343,1.3167593479156494,8.052482931924308e-05,0.3990
17800,0.9256999266147613,1.3126178145408631,8.010706498870997e-05,0.4095
18000,0.900398003757,1.3109691530466079,7.968597695835844e-05,0.3976
18200,0.8916495636105537,1.3105447262525558,7.926161171462648e-05,0.3930
18400,0.9351595813035964,1.306974521279335,7.883401610574336e-05,0.4120
18600,0.891718465089798,1.3067360699176789,7.840323733655778e-05,0.3945
18800,0.88498848259449,1.3043754786252975,7.796932296332667e-05,0.3888
19000,0.8894663852453232,1.3034639179706573,7.753232088846505e-05,0.3941
19200,0.919956933259964,1.302377814054489,7.709227935525796e-05,0.4058
19400,0.885112759321928,1.3009428322315215,7.664924694253443e-05,0.3900
19600,0.8711928652226925,1.2996741354465484,7.620327255930474e-05,0.3834
19800,0.9068603244423866,1.298248428106308,7.575440543936092e-05,0.4013
20000,0.8828579258918762,1.297425591945648,7.530269513584158e-05,0.3867
20200,0.8982948106527329,1.2944255471229553,7.484819151576147e-05,0.4037
20400,0.8904609110951424,1.2948445528745651,7.439094475450638e-05,0.3928
20600,0.881348333954811,1.292515441775322,7.393100533029383e-05,0.3904
20800,0.8862493504583836,1.2926772028207778,7.346842401860069e-05,0.3955
